"Name","LastWriteTime","PSPath"
"mvs_37542264e3c3402587e6597da77c2560","7/8/2026 7:02:36 PM","Microsoft.PowerShell.Core\FileSystem::C:\Users\ynotf\.mavis\sessions\mvs_37542264e3c3402587e6597da77c2560"
"mvs_b395f4770778433fbe701e8b2b3e6309","6/30/2026 8:59:33 PM","Microsoft.PowerShell.Core\FileSystem::C:\Users\ynotf\.mavis\sessions\mvs_b395f4770778433fbe701e8b2b3e6309"
"mvs_e495f81dcf614d3f8634735ac78b9db8","6/29/2026 5:00:07 PM","Microsoft.PowerShell.Core\FileSystem::C:\Users\ynotf\.mavis\sessions\mvs_e495f81dcf614d3f8634735ac78b9db8"
"mvs_30e1bc3689374e1cba90b32a9e338a9d","6/28/2026 3:59:59 PM","Microsoft.PowerShell.Core\FileSystem::C:\Users\ynotf\.mavis\sessions\mvs_30e1bc3689374e1cba90b32a9e338a9d"
"mvs_e37a0a4800ec47dbad2d38cfa417edf0","6/19/2026 2:13:24 PM","Microsoft.PowerShell.Core\FileSystem::C:\Users\ynotf\.mavis\sessions\mvs_e37a0a4800ec47dbad2d38cfa417edf0"
"mvs_173a60b402be48448c6c60b56a6722cb","6/17/2026 6:02:50 PM","Microsoft.PowerShell.Core\FileSystem::C:\Users\ynotf\.mavis\sessions\mvs_173a60b402be48448c6c60b56a6722cb"
"mvs_08c2383f1a124bb69d60f86666ffb682","6/7/2026 1:04:18 PM","Microsoft.PowerShell.Core\FileSystem::C:\Users\ynotf\.mavis\sessions\mvs_08c2383f1a124bb69d60f86666ffb682"
"mvs_5912fb2d44c446029cc88cda7a390124","6/6/2026 10:57:07 PM","Microsoft.PowerShell.Core\FileSystem::C:\Users\ynotf\.mavis\sessions\mvs_5912fb2d44c446029cc88cda7a390124"
"mvs_e79e0fc6e9bc4468a9dc89a0c8a53b40","6/6/2026 10:57:05 PM","Microsoft.PowerShell.Core\FileSystem::C:\Users\ynotf\.mavis\sessions\mvs_e79e0fc6e9bc4468a9dc89a0c8a53b40"
"mvs_92c33998db564ef6a85d57d79a2667e7","6/6/2026 10:57:03 PM","Microsoft.PowerShell.Core\FileSystem::C:\Users\ynotf\.mavis\sessions\mvs_92c33998db564ef6a85d57d79a2667e7"
"mvs_6e405892cce3437fa2ae15b6c8cee9d7","6/6/2026 10:56:50 PM","Microsoft.PowerShell.Core\FileSystem::C:\Users\ynotf\.mavis\sessions\mvs_6e405892cce3437fa2ae15b6c8cee9d7"
"mvs_1f1d3d7fcaa64955ab1127604d378a6c","6/6/2026 10:53:40 PM","Microsoft.PowerShell.Core\FileSystem::C:\Users\ynotf\.mavis\sessions\mvs_1f1d3d7fcaa64955ab1127604d378a6c"
"mvs_9708c24c841c424b889316fbaee441b5","6/6/2026 10:50:51 PM","Microsoft.PowerShell.Core\FileSystem::C:\Users\ynotf\.mavis\sessions\mvs_9708c24c841c424b889316fbaee441b5"
"mvs_623bab2a2ad647569e8ed31d18f02c34","6/6/2026 9:42:18 PM","Microsoft.PowerShell.Core\FileSystem::C:\Users\ynotf\.mavis\sessions\mvs_623bab2a2ad647569e8ed31d18f02c34"
"mvs_7713ea78c173496592533b7e63d5192a","6/6/2026 9:42:18 PM","Microsoft.PowerShell.Core\FileSystem::C:\Users\ynotf\.mavis\sessions\mvs_7713ea78c173496592533b7e63d5192a"
